isbn,title,author,year
380817926,Ilium,Dan Simmons,2003
1421820609,Cinq semaines en ballon,Jules Verne,1863
62267523,The Kind Worth Killing,Peter  Swanson,2015
671004239,The Locket,Richard Paul Evans,1998
62491792,Commonwealth,Ann Patchett,2016
055380555X,No Time for Goodbye,Linwood Barclay,2007
553803077,Sickened,Julie Gregory,2003
545324092,The Medusa Plot,Gordon Korman,2011
345363310,Demon Lord of Karanda,David Eddings,1988
385265700,The Book of Ruth,Jane Hamilton,1988
316954993,War and Remembrance,Herman Wouk,1978
575077883,Before They Are Hanged,Joe Abercrombie,2007
61051586,Carpe Jugulum,Terry Pratchett,1998
385515049,The Appeal,John Grisham,2008
141658661X,Full Black,Brad Thor,2011
62285637,Four: The Transfer,Veronica Roth,2013
670026638,A Tale for the Time Being,Ruth Ozeki,2013
60837381,The Fixer Upper,Mary Kay Andrews,2009
1250015545,The Good House,Ann Leary,2013
345434803,The Vampire Armand,Anne Rice,1998
1847673767,The Death of Bunny Munro,Nick Cave,2009
451471474,I Was Here,Gayle Forman,2015
385351232,Longbourn,Jo Baker,2013
152010661,Time for Bed,"Mem Fox, Jane Dyer",1993
440421705,Hoot,Carl Hiaasen,2002
316194689,Ask the Passengers,A.S. King,2012
1455559822,Memory Man,David Baldacci,2015
374116342,Breath,Tim Winton,2008
044024160X,The Gods of War,Conn Iggulden,2006
373210183,The Iron Queen,Julie Kagawa,2011
312642962,Scarlet,Marissa Meyer,2013
316068225,This is Water,David Foster Wallace,2009
375700811,The Executioner's Song,Norman Mailer,1979
1484724917,The Blood of Olympus,Rick Riordan,2014
143035746,The Liars' Club: A Memoir,Mary Karr,1995
553804332,Say Goodbye,Lisa Gardner,2008
158648303X,Auschwitz: A New History,Laurence Rees,2005
60988657,Mirror Mirror,Gregory Maguire,2003
804113475,Ladder of Years,Anne Tyler,1995
425142485,The Funhouse,"Owen  West, Dean Koontz",1980
375758232,Paris to the Moon,Adam Gopnik,2000
679728740,Child of God,Cormac McCarthy,1973
340893613,Sapphique,Catherine Fisher,2000
425192032,Lightning,Dean Koontz,1988
312949812,Seduce Me at Sunrise,Lisa Kleypas,2008
425212696,S is for Silence,Sue Grafton,2005
804138818,Zomerhuis met zwembad,Herman Koch,2011
743298020,The Thirteenth Tale,Diane Setterfield,2006
140132937,The Wives of Henry VIII,Antonia Fraser,1992
753453800,Treasure Island,Robert Louis Stevenson,1882
812511816,The Eye of the World,Robert Jordan,1990
312377045,Bury Your Dead,Louise Penny,2010
1594488878,"Juliet, Naked",Nick Hornby,2009
670038571,Second Chance,Jane Green,2007
312361270,The Gatecrasher,Madeleine Wickham,1998
031298166X,Crooked House,Agatha Christie,1949
312984839,Dance with the Devil,Sherrilyn Kenyon,2003
385528779,The Year of the Flood,Margaret Atwood,2009
307263940,Digging to America,Anne Tyler,2006
1480095532,The Edge of Never,J.A. Redmerski,2012
1846164257,The Fire Eternal,Chris d'Lacey,2007
679805273,"Oh, the Places You'll Go!",Dr. Seuss,1990
1400066124,Letter to My Daughter,Maya Angelou,2008
316066346,The Girls,Lori Lansens,2005
670063118,Eona: The Last Dragoneye,Alison Goodman,2011
1409135195,The Scottish Prisoner,Diana Gabaldon,2011
886773687,Armor,John Steakley,1984
743227441,The Other Boleyn Girl,Philippa Gregory,2001
525952276,Stay Close,Harlan Coben,2012
451219953,The Last Templar,Raymond Khoury,2006
802135781,Sexing the Cherry,Jeanette Winterson,1989
747266921,Four Blind Mice,James Patterson,2002
671733419,Women Who Love Too Much,Robin Norwood,1985
330411969,Dissolution,C.J. Sansom,2003
765326582,The Gate Thief,Orson Scott Card,2013
886779065,Mountain of Black Glass,Tad Williams,1999
684822761,In Our Time,Ernest Hemingway,1925
525952926,Winter of the World,Ken Follett,2012
312936222,Ten Big Ones,Janet Evanovich,2004
778324338,Poison Study,Maria V. Snyder,2005
042510687X,Outbreak,Robin Cook,1987
141183535,A Room of One's Own,Virginia Woolf,1929
1405209496,National Velvet,Enid Bagnold,1935
747553866,Pastoralia,George Saunders,2000
61974618,The Fall of Five,Pittacus Lore,2013
1442454148,Rise of the Elgen,Richard Paul Evans,2012
142406139,Eagle Strike,Anthony Horowitz,2003
670061107,That Summer,Sarah Dessen,1996
385537131,Sycamore Row,John Grisham,2013
316010707,Case Histories,Kate Atkinson,2004
1250128544,Love Warrior,Glennon Doyle Melton,2016
61351423,Slash,"Slash, Anthony Bozza",2007
553153382,Anastasia Krupnik,Lois Lowry,1978
749391685,The Commitments,Roddy Doyle,1987
451200810,North and South,John Jakes,1982
1844285073,Curious George Rides a Bike,H.A. Rey,1952
7169957,There's a Wocket in My Pocket,Dr. Seuss,1974
425169693,Here on Earth ,Alice Hoffman,1997
671702513,The Prize,Julie Garwood,1991
1400064759,American Wife,Curtis Sittenfeld,2008
193636574X,A Hologram for the King,Dave Eggers,2012
140006788X,Night Film,Marisha Pessl,2013
671449028,The Going-To-Bed Book,Sandra Boynton,1982
1416599398,Extreme Measures,Vince Flynn,2008
446609404,Virgin,James Patterson,1980
076532699X,The Goblin Emperor,Katherine Addison,2014
316010766,Oblivion,David Foster Wallace,2004
380821214,Eric,Terry Pratchett,1990
515133310,Echo Burning,Lee Child,2001
2314576,Lord Edgware Dies,Agatha Christie,1933
937611352,Heal Your Body,Louise L. Hay,1976
399173595,The Princess Diarist,Carrie Fisher,2016
755379284,When God Was a Rabbit,Sarah Winman,2011
1250046394,Once We Were Brothers,Ronald H. Balson,2010
1250095255,Caraval,Stephanie Garber,2017
749934409,Reunion in Death,J.D. Robb,2002
1455521191,The Escape,David Baldacci,2014
1420100963,Storm Born,Richelle Mead,2008
804192979,Night School,"Lee Child, Dick Hill",2016
142001740,The Secret Life of Bees,Sue Monk Kidd,2001
380756277,Prisoner of my desire ,Johanna Lindsey,1991
345427637,The Angel of Darkness,Caleb Carr,1997
1439102430,Bones Are Forever,Kathy Reichs,2012
446696161,Fledgling,Octavia E. Butler,2005
1451686633,The Passenger,Lisa Lutz,2016
743272498,The Constant Princess,Philippa Gregory,2005
142408808,Superfudge,Judy Blume,1980
385338600,A Time to Kill,John Grisham,1989
62271121,Amy & Matthew,Cammie McGovern,2014
802139256,Peace Like a River,Leif Enger,2001
380790076,Simply Irresistible,Rachel Gibson,1998
312932812,Crazy For You,Jennifer Crusie,1999
743272501,The Boleyn Inheritance,Philippa Gregory,2006
1599900734,Princess Academy,Shannon Hale,2005
425238814,The Perfect Play,Jaci Burton,2011
767907817,Bookends,Jane Green,2000
399216197,Lon Po Po,Ed Young,1989
1400063973,The 19th Wife,David Ebershoff,2008
553381334,A Man in Full,Tom Wolfe,1998
441013406,Academ's Fury,Jim Butcher,2005
1594488800,The Little Stranger,Sarah Waters,2009
545123267,Shiver,Maggie Stiefvater,2009
812520475,Eon,Greg Bear,1984
440164842,Noble House,James Clavell,1981
141187492,Scoop,Evelyn Waugh,1937
006233638X,Fill-in boyfrined,Kasie West,2015
876850867,Post Office,Charles Bukowski,1971
767903862,Down Under,Bill Bryson,2000
1595143181,The Golden Lily,Richelle Mead,2012
399256938,Rebel Belle,Rachel Hawkins,2014
1250006325,Torn,Amanda Hocking,2010
156007479,Slammerkin,Emma Donoghue,2000
349117624,Jennifer Government,Max Barry,2002
7524277,Allegiant,Veronica Roth,2013
449818438,Mitosis,Brandon Sanderson,2013
140186301,Lucky Jim,"Kingsley Amis, David Lodge",1954
446583146,One Summer,David Baldacci,2011
61449067,Hunger ,Michael  Grant,2009
1476791619,A Work in Progress,Connor Franta,2015
316041440,Hate List,Jennifer Brown,2009
689875347,A Great and Terrible Beauty,Libba Bray,2003
1627792120,Six of Crows,Leigh Bardugo,2015
394574753,The Crossing ,Cormac McCarthy,1994
553803727,Foundation and Empire,Isaac Asimov,1952
446675539,Gone with the Wind,Margaret Mitchell,1936
843955430,The Girl Next Door,Jack Ketchum,1989
1416516859,Deep Six,Clive Cussler,1984
1442152613,Elizabeth Street,Laurie Fabiano,2006
553288202,The Fall of Hyperion,Dan Simmons,1990
804179034,Uprooted,Naomi Novik,2015
1400031702,The Secret History,Donna Tartt,1992
1416995552,It's Not Summer Without You,Jenny Han,2010
449912426,Drei Kameraden,Erich Maria Remarque,1936
60788194,A Fistful of Charms,Kim Harrison,2006
1416530711,"Whitney, My Love",Judith McNaught,1985
450542882,Four Past Midnight,Stephen King,1990
380018179,The Thorn Birds,Colleen McCullough,1977
1250034604,That Night,Chevy Stevens,2014
345457714,Broken Angels,Richard K. Morgan,2003
446195510,True Blue,David Baldacci,2009
60764902,The magician's nephew,C.S. Lewis,1953
679720219,La peste,"Albert Camus, Stuart Gilbert",1947
61140988,The Fury and Dark Reunion,L.J. Smith,2007
307277674,The Da Vinci Code,Dan Brown,2003
60725125,Ninth Key,Meg Cabot,2001
61345725,Envy,Anna Godbersen,2009
241141826,Skippy Dies,Paul Murray,2010
786849568,The Lost Colony,Eoin Colfer,2006
316018589,Barefoot,Elin Hilderbrand,2007
399214577,Owl Moon,"Jane Yolen, John Schoenherr",1987
385344228,Defending Jacob,William Landay,2012
312306342,Plum Lovin',Janet Evanovich,2007
1594485755,The Psychopath Test,Jon Ronson,2011
553589172,Ashes to Ashes,Tami Hoag,1999
575132507,Foxglove Summer,Ben Aaronovitch,2014
60562498,It Happened One Autumn,Lisa Kleypas,2005
1476728747,The Wright Brothers,David McCullough,2015
575077166,The Prefect,Alastair Reynolds,2007
074347788X,Undaunted Courage,Stephen E. Ambrose,1996
393328627,The History of Love,Nicole Krauss,2005
1400068312,Sisterland,Curtis Sittenfeld,2013
038533916X,Bloodfever,Karen Marie Moning,2007
1557488150,In His Steps,Charles M. Sheldon,1896
1467964409,Wife by wednesday,Catherine Bybee,2011
1439172560,The First Bad Man,Miranda July,2015
451229851,"Lover Avenged, part one",J.R. Ward,2010
451222725,"Lover Enshrined, part one",J.R. Ward,2008
1594204993,Redeployment,Phil Klay,2014
316952664,The Winds of War,Herman Wouk,1971
515141658,Morrigan's Cross,Nora Roberts,2006
241963745,The Other Typist,Suzanne Rindell,2013
006621131X,Just Kids,Patti Smith,2010
316778508,The Dogs of Babel,Carolyn  Parkhurst,2003
60596988,Lit,Mary Karr,2008
425205967,Cat Among the Pigeons,Agatha Christie,1959
014023828X,The Tortilla Curtain,T.C. Boyle,1995
316910333,Gossip Girl,Cecily von Ziegesar,2002
1741662095,Erak's Ransom,John Flanagan,2007
62073125,The Fallen Angel,Daniel Silva,2012
345485750,The Alexandria Link,Steve Berry,2007
62217070,Reboot,Amy Tintera,2013
61240850,Anybody Out There?,Marian Keyes,2006
60759968,Little Altars Everywhere,Rebecca Wells,1992
316713732,The Last Time They Met,Anita Shreve,2001
440243750,Summer Sisters,Judy Blume,1998
765348276,Old Man's War,John Scalzi,2005
452287898,Love Walked In,Marisa de los Santos,2005
425263908,Bared to You,Sylvia Day,2012
1451645821,Ordinary Grace,William Kent Krueger,2013
374480095,Tuck Everlasting,Natalie Babbitt,1975
743430336,Mercy,Julie Garwood,2001
451461991,Embrace the Night,Karen Chance,2008
440240948,The Gates of Rome,Conn Iggulden,2002
307599469,Seating Arrangements,Maggie Shipstead,2012
545060494,Storm Warning,Linda Sue Park,2010
312939019,C is for Corpse,Sue Grafton,1986
374324913,Lockdown,Alexander Gordon Smith,2009
143039946,Gravity's Rainbow,Thomas Pynchon,1973
345485777,The Venetian Betrayal,Steve Berry,2007
60855924,The Colour of Magic,Terry Pratchett,1983
552150215,The Analyst,John Katzenbach,2002
1455520616,See Me,Nicholas Sparks,2015
067976402X,Snow Falling on Cedars,David Guterson,1994
1585673692,True Grit,Charles Portis,1968
1897299214,Pyongyang,Guy Delisle,2003
553582453,The Golden Fool,Robin Hobb,2002
767919408,One Summer: America 1927,Bill Bryson,2013
312650094,Outpost,Ann Aguirre,2012
439679966,Evil Star,Anthony Horowitz,2006
1781162646,Joyland,Stephen King,2013
61449091,Lies,Michael  Grant,2010
515141399,Blue Smoke,Nora Roberts,2005
1416953582,Fade,Lisa McMann,2009
743470125,Goodnight Nobody,Jennifer Weiner,2005
671737635,Something Wonderful,Judith McNaught,1988
525952764,Catch Me,Lisa Gardner,2012
1592402739,Candy Girl,Diablo Cody,2005
425141233,Winter Prey,John Sandford,1993
385743580,Firefight,Brandon Sanderson,2015
307990672,Odd Apocalypse,Dean Koontz,2012
045146379X,Ghost Story,Jim Butcher,2011
670072818,Finnikin of the Rock,Melina Marchetta,2008
044619154X,Witness,Sandra Brown,1995
451460936,Touch the Dark,Karen Chance,2006
143034758,Alexander Hamilton,Ron Chernow,2004
373210515,The Immortal Rules,Julie Kagawa,2012
151189781,Collected Poems 1909-1962,T.S. Eliot,1963
765305119,The Dragon Reborn ,Robert Jordan,1991
345417968,The 158-Pound Marriage,John Irving,1974
60724617,Princess Mia,Meg Cabot,2007
345324390,The Gods of Mars,Edgar Rice Burroughs,1913
812577566,Knife of Dreams,Robert Jordan,2005
1841954802,Under the Skin,Michel Faber,2000
1594482306,The Night Watch,Sarah Waters,2006
62320521,Magonia,Maria Dahvana Headley,2015
1416595201,Kill Shot,Vince Flynn,2012
1414310552,Danger in the Shadows,Dee Henderson,1999
60880120,How to Be Popular,Meg Cabot,2006
1410400964,The Stone Monkey,Jeffery Deaver,2002
385339674,The Brethren,John Grisham,2000
1560760478,Sojourn (Dark Elf #3),R.A. Salvatore,1990
1841497126,The Reckoning,Kelley Armstrong,2010
802723462,Scarlet,A.C. Gaughen,2012
751554154,I Let You Go,Clare Mackintosh,2016
399250484,Slam,Nick Hornby,2007
749934131,Vengeance in Death,J.D. Robb,1997
1400052297,A Piece of Cake: A Memoir,Cupcake Brown,2006
1442436646,Poison Princess,Kresley Cole,2012
545415071,Underworld,Meg Cabot,2012
1501111671,The Bazaar of Bad Dreams,Stephen King,2015
99267543,Timequake,Kurt Vonnegut Jr.,1997
151166066X,The Mistake,Elle Kennedy,2015
553820273,Succubus Heat,Richelle Mead,2009
316032220,Beat the Reaper,Josh Bazell,2008
451210557,No Second Chance,Harlan Coben,2003
307377326,Asterios Polyp,David Mazzucchelli,2009
1591141273,Flight of the Intruder,Stephen Coonts,1986
671721720,The Honor of the Queen,David Weber,1993
739455834,The Twelfth Card,Jeffery Deaver,2005
670011304,Waiting For You,Susane Colasanti,2009
1594205418,Funny Girl,Nick Hornby,2014
446677388,Kiss the Girls,James Patterson,1995
440132940,Evergreen,Belva Plain,1978
1101875941,Sweetbitter,Stephanie Danler,2016
749909056,Dream Warrior,Sherrilyn Kenyon,2009
99489988,Watermelon,Marian Keyes,1995
61059927,Dark Reunion,L.J. Smith,1991
446616621,Night Fall,Nelson DeMille,2004
316735507,Eat to Live,Joel Fuhrman,2003
1595142509,Spirit Bound,Richelle Mead,2010
812551494,Soul of the Fire,Terry Goodkind,1999
809510839,Carmilla,J. Sheridan Le Fanu,1872
62060554,Before I Go to Sleep,S.J. Watson,2011
1857236653,The King Beyond the Gate,David Gemmell,1985
62072099,Into the Still Blue,Veronica Rossi,2014
373772467,The Darkest Night,Gena Showalter,2008
99437597,In Watermelon Sugar,Richard Brautigan,1968
439236193,White Fang,Jack London,1906
142437298,Herzog,"Saul Bellow, Philip Roth",1964
802135226,The Passion,Jeanette Winterson,1987
345451325,The Fall of Reach,Eric S. Nylund,2001
1595143203,The Fiery Heart,Richelle Mead,2013
1599903423,Captivate,Carrie Jones,2010
451215737,Prince of Fire,Daniel Silva,2005
1477817158,Left Drowning,Jessica Park,2013
60725133,Reunion,Meg Cabot,2001
373210051,My Soul to Keep,Rachel Vincent,2010
743297334,The Sun Also Rises,Ernest Hemingway,1926
758266928,Touch of Frost,Jennifer Estep,2011
671540661,The Shadow of the Torturer,Gene Wolfe,1980
307271080,Americanah,Chimamanda Ngozi Adichie,2013
451208706,The Man from St. Petersburg,Ken Follett,1982
451457811,Storm Front,Jim Butcher,2000
1423128192,The Atlantis Complex,Eoin Colfer,2010
345335457,Magician's Gambit,David Eddings,1983
038533379X,Soul On Ice,Eldridge Cleaver,1968
425176657,Belinda,"Anne Rice, Anne Rampling",1986
61092037,The Fourth Estate,Jeffrey Archer,1996
345418476,The One Tree,Stephen R. Donaldson,1982
670059838,"Llama, Llama Red Pajama",Anna Dewdney,2005
312348266,Secrets of a shoe addict,Beth Harbison,2008
756405718,Rosemary and Rue,Seanan McGuire,2009
345450728,Distant Shores,Kristin Hannah,2002
446546933,Columbine,Dave Cullen,2009
552154229,The Fifth Elephant,Terry Pratchett,1999
810970686,The Last Straw,Jeff Kinney,2009
330247042,Marathon Man,William Goldman,1974
62285505,The Enchanted,Rene Denfeld,2014
60092572,The Terminal Man,Michael Crichton,1972
553588184,Broken,Kelley Armstrong,2006
758232004,Succubus Shadows ,Richelle Mead,2010
375829830,Saving Francesca,Melina Marchetta,2003
031609966X,Silver Girl,Elin Hilderbrand,2011
330448447,The Shifting Fog,Kate Morton,2006
586064176,Silverthorn,Raymond E. Feist,1985
450417395,Misery,Stephen King,1987
679889108,The Lorax,Dr. Seuss,1971
140309276,Homer Price,Robert McCloskey,1942
765348810,House of Chains,Steven Erikson,2004
1423157370,The Darkest Minds,Alexandra Bracken,2012
374384681,The Winner's Curse,Marie Rutkoski,2014
345397673,Antrax,Terry Brooks,2001
145210655X,Darth Vader and Son,Jeffrey Brown,2012
140157727,Virtual Light,William Gibson,1993
1416974512,"Night World, No. 2",L.J. Smith,2008
374260508,The Sellout,Paul Beatty,2015
316296198,The Magus,John Fowles,1965
147675666X,We Are Not Ourselves,Matthew  Thomas,2014
312380828,Come Home,Lisa Scottoline,2012
545040523,Airhead ,Meg Cabot,2008
552152676,Thud!,Terry Pratchett,2006
525456074,Rapunzel,Paul O. Zelinsky,1997
446531383,Strange Highways,Dean Koontz,1995
312992424,Night Play,Sherrilyn Kenyon,2004
451529308,Little Women,Louisa May Alcott,1868
61128643,Lost & Found,Jacqueline Sheehan,2007
7120710,Sad Cypress,Agatha Christie,1940
393081508,Heft,Liz Moore,2012
1408810441,Entice,Carrie Jones,2010
038553714X,Gray Mountain,John Grisham,2014
345545966,Ashley Bell,Dean Koontz,2015
1582346178,A Year in the Merde,Stephen Clarke,2004
812974611,Pompeii,Robert   Harris,2003
786887583,Napalm & Silly Putty,George Carlin,2001
1594488134,The Last Nude,Ellis Avery,2012
553588265,Forever Odd,Dean Koontz,2005
618724834,The Wednesday Wars,Gary D. Schmidt,2007
62014536,Requiem,Lauren Oliver,2013
786838922,Blue Bloods,Melissa de la Cruz,2006
394757688,The Long Goodbye,Raymond Chandler,1953
441009425,Revelation Space,Alastair Reynolds,2000
738718688,Return to Paradise,Simone Elkeles,2010
7158491,Hop on Pop,Dr. Seuss,1963
1456527738,Sempre,J.M. Darhower,2014
679456201,My Life on the Road,Gloria Steinem,2015
439700930,The Dark Hills Divide,Patrick Carman,2003
1555977073,The Argonauts,Maggie Nelson,2015
307376656,La catedral del mar,Ildefonso Falcones,2006
1741663024,Halt's Peril,John Flanagan,2009
340895934,Silver Bay,Jojo Moyes,2007
333761189,The Rats,James Herbert,1974
62059998,The One,Kiera Cass,2014
62004018,Die for Me,Amy Plum,2011
749934433,Imitation in Death,J.D. Robb,2003
375758771,The Glass Palace,Amitav Ghosh,2000
3552060413,Gut gegen Nordwind,Daniel Glattauer,2006
1451664125,In One Person,John Irving,2012
1400043875,The Ruins,Scott B. Smith,2006
1612187145,Not Quite Dating,Catherine Bybee,2012
044657161X,Simply Irresistible,Jill Shalvis,2010
1595141715,Thirteen Reasons Why,Jay Asher,2007
385528043,The Confession,John Grisham,2010
60557818,Neverwhere,Neil Gaiman,1996
440339340,Worth Dying For,Lee Child,2010
440222656,The Horse Whisperer,Nicholas Evans,1995
62279874,Foreplay,Sophie Jordan,2013
1409113965,Minding Frankie,Maeve Binchy,2010
440244498,Veil of Midnight,Lara Adrian,2008
316955108,The Caine Mutiny,Herman Wouk,1951
553213172,Anne of the Island,L.M. Montgomery,1915
340796146,Five on a Treasure Island ,Enid Blyton,1942
006056251X,Devil in Winter ,Lisa Kleypas,2006
2020418770,V.,Thomas Pynchon,1963
014132502X,The Enemy,Charlie Higson,2009
1400097037,Arthur & George,Julian Barnes,2005
345497627,The Keepsake,Tess Gerritsen,2008
545060486,The Emperor's Code,Gordon Korman,2010
345539478,Unseen,Karin Slaughter,2013
374193681,The Lover's Dictionary,David Levithan,2011
1419953249,The Sweet Gum Tree,Katherine Allred,2005
1421808307,Burmese Days,George Orwell,1934
1416586571,The Apostle,Brad Thor,2009
345542924,Top Secret Twenty-One,Janet Evanovich,2014
553589482,The Search,Iris Johansen,2000
553282980,Dead Poets Society ,N.H. Kleinbaum,1988
385521383,New York,Edward Rutherfurd,2009
64472809,Princess in Love,Meg Cabot,2001
61784796,Bloodline,James Rollins,2012
545240778,Prom and Prejudice,Elizabeth Eulberg,2011
312957572,The Seventh Scroll,Wilbur Smith,1995
312423799,Dry: A Memoir,Augusten Burroughs,2003
044023803X,Hawksong,Amelia Atwater-Rhodes,2003
61998168,Every Thing On It,Shel Silverstein,2011
1936365537,How Music Works,David Byrne,2012
312569033,Monument 14,Emmy Laybourne,2012
1416509887,No Rest for the Wicked,Kresley Cole,2006
140280464,My Year of Meats,Ruth Ozeki,1998
525951989,Attachments,Rainbow Rowell,2011
1841499889,Leviathan Wakes,James S.A. Corey,2011
61992704,Sh*t My Dad Says,Justin Halpern,2010
307594173,God Help the Child,Toni Morrison,2014
451461401,White Night,Jim Butcher,2007
307381757,The Heretic Queen,Michelle Moran,2008
373210272,My Soul to Steal,Rachel Vincent,2010
1596436581,In Real Life,"Cory Doctorow, Jen Wang",2014
440245265,Shades of Midnight,Lara Adrian,2009
141655484X,Blaze,"Richard Bachman, Stephen King",2007
345539788,Red Rising,Pierce Brown,2014
451475496,Eeny Meeny,M.J. Arlidge,2014
375836977,A Color of His Own,Leo Lionni,1975
014131088X,Speak,Laurie Halse Anderson,1999
64440583,Days with Frog and Toad,Arnold Lobel,1979
1419702173,My Friend Dahmer,Derf Backderf,2012
316037834,The Ambassador's Mission,Trudi Canavan,2010
670012254,Keep Holding On,Susane Colasanti,2012
1476759545,A Beautiful Wedding,Jamie McGuire,2013
553575651,Ship of Destiny,Robin Hobb,2000
143036661,March,Geraldine Brooks,2004
044101769X,First Lord's Fury,Jim Butcher,2008
679800034,Horton Hears a Who!,Dr. Seuss,1954
7175191,Horton Hatches the Egg,Dr. Seuss,1940
515089931,Tramp for the Lord,Corrie ten Boom,1974
039480001X,The Cat in the Hat,Dr. Seuss,1957
142003239,Live and Let Die,Ian Fleming,1954
553578529,Into the Wilderness,Sara Donati,1998
1416963987,Doll Bones,"Holly Black, Eliza Wheeler",2013
671725661,West Side Story,Irving Shulman,1961
441010644,Chasm City,Alastair Reynolds,2001
307590615,Decision Points,George W. Bush,2010
144240907X,Fever,Lauren DeStefano,2012
670022691,Rules of Civility,Amor Towles,2011
147111810X,UnSouled,Neal Shusterman,2013
375508333,A Raisin in the Sun,Lorraine Hansberry,1959
505525534,Love Bites,Lynsay Sands,2004
385521723,A Fraction of the Whole,Steve Toltz,2008
446611638,Lost Light,Michael Connelly,2003
62422960,Queen Song,Victoria Aveyard,2015
042518546X,Open Season,C.J. Box,2001
316734837,Fortune's Rocks,Anita Shreve,1999
312595670,Still Missing,Chevy Stevens,2010
60577363,Flyte,"Angie Sage, Mark Zug",2006
316769177,The Catcher in the Rye,J.D. Salinger,1951
441012396,Deerskin,Robin McKinley,1993
345545850,Complete Me,J. Kenner,2013
451165667,Fatal Vision,Joe McGinniss,1983
385755929,Holding Up the Universe,Jennifer Niven,2016
7563035,The Ice Twins,S.K. Tremayne,2015
545424941,The Dream Thieves,Maggie Stiefvater,2013
446611778,Last Man Standing,David Baldacci,2001
307277887,Darkly Dreaming Dexter,Jeff Lindsay,2004
702229784,Oscar and Lucinda,Peter Carey,1988
515142867,Midnight Bayou,Nora Roberts,2001
451215710,Whiteout,Ken Follett,2004
340682388,What I Loved,Siri Hustvedt,2002
076790284X,Bella Tuscany,Frances Mayes,1999
385341598,The Onion Field,Joseph Wambaugh,1973
373210035,My Soul to Take,Rachel Vincent,2009
451220897,The Dead Girls' Dance,Rachel Caine,2007
031608106X,Deadline,Mira Grant,2011
1595143998,Shades of Earth,Beth Revis,2013
525954570,Find Her,Lisa Gardner,2016
312537409,Abandon,Blake Crouch,2009
62107313,The Valley of Amazement,Amy Tan,2013
60786523,A Suitable Boy,Vikram Seth,1993
515128554,Heart of the Sea,Nora Roberts,2000
451199863,A Pocket Full of Rye,Agatha Christie,1953
1455501476,Lethal,Sandra Brown,2011
1406310263,The Ask and the Answer,Patrick Ness,2009
074326603X,Imperium,Robert   Harris,2006
1616960922,The Emperor's Soul,Brandon Sanderson,2012
452286034,Bitten,Kelley Armstrong,2001
142407380,Ark Angel,Anthony Horowitz,2005
425285049,The Girl Before,J.P. Delaney,2017
60741872,"Alas, Babylon",Pat Frank,1959
749934123,Ceremony in Death,J.D. Robb,1997
452283868,Sula,Toni Morrison,1973
61020702,The Light Fantastic,Terry Pratchett,1986
042520426X,Origin in Death,J.D. Robb,2005
61143316,Promise Not to Tell,Jennifer McMahon,2007
99366711,L.A. Confidential,James Ellroy,1990
679772669,In the Skin of a Lion,Michael Ondaatje,1987
043977134X,Gregor the Overlander,Suzanne Collins,2003
99461889,Money,Martin Amis,1984
440244501,Ashes of Midnight,Lara Adrian,2009
375705198,Amy & Isabelle,Elizabeth Strout,1998
1442444924,Winger,Andrew  Smith,2013
1936305380,The Redhead Revealed,Alice Clayton,2010
055357342X,A Storm of Swords,George R.R. Martin,2000
1439164630,Left Neglected,Lisa Genova,2011
812976142,The Alienist,Caleb Carr,1994
425204308,Broken Prey,John Sandford,2005
553575384,To Say Nothing of the Dog,Connie Willis,1998
145161747X,The Dovekeepers,Alice Hoffman,2011
399167064,Big Little Lies,Liane Moriarty,2014
345481305,Black Powder War,Naomi Novik,2006
385742886,The Kill Order,James Dashner,2012
1414315716,The Last Sin Eater,Francine Rivers,1998
312305060,The Hours,Michael Cunningham,1998
888994168,The Breadwinner,Deborah Ellis,2000
61566128,Killer ,Sara Shepard,2009
042528011X,Bay of Sighs,Nora Roberts,2016
312933533,Honour Among Thieves,Jeffrey Archer,1993
804136572,Ex-Heroes,Peter Clines,2010
743249291,Wideacre,Philippa Gregory,1987
842345523,More Than a Carpenter,Josh McDowell,1977
806512814,Johnny Got His Gun,Dalton Trumbo,1939
312265050,The Naked and the Dead,Norman Mailer,1948
61922315,Secret Daughter,Shilpi Somaya Gowda,2010
891343377,Keys to Drawing,Bert Dodson,1985
1400067111,Shanghai Girls,Lisa See,2009
385350813,Dept. of Speculation,Jenny Offill,2014
1250000238,Dragon's Oath,"P.C. Cast, Kristin Cast",2011
515138819,Sunshine,Robin McKinley,2003
054705484X,Indignation,Philip Roth,2008
1935089447,Sophie & Carter,Chelsea Fine,2011
044661002X,Kushiel's Scion,Jacqueline Carey,2006
60012382,The Wee Free Men,Terry Pratchett,2003
1476727910,The Humans,Matt Haig,2013
1595143173,Bloodlines,Richelle Mead,2011
618680004,The God Delusion,Richard Dawkins,2006
451459407,Death Masks,Jim Butcher,2003
375507256,Cloud Atlas,David Mitchell,2004
613371658,The Princess Diaries,Meg Cabot,2000
152002650,Mouse Paint,Ellen Stoll Walsh,1989
1579126294,A Murder is Announced,Agatha Christie,1950
1480114480,The Proposition,Katie Ashley,2012
1408808870,The Finkler Question,Howard Jacobson,2010
749941995,Just Like Heaven,Julia Quinn,2011
515116750,Born in Ice,Nora Roberts,1995
1595540067,Saint,Ted Dekker,2006
743271181,Takedown,Brad Thor,2006
812508424,Shadows Linger,Glen Cook,1984
679722769,Ulysses,James Joyce,1922
1596430699,Bad Kitty,Nick Bruel,2005
553269828,Sundiver,David Brin,1980
